web-scraper-order,web-scraper-start-url,links,links-href,Title,Votes,Note,Metascore,Genre
1678282171-842,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Wolf Warrior 2,https://www.imdb.com/title/tt7131870/?ref_=adv_li_tt,Wolf Warrior 2,84000,"5,9",44.0,Action
1678279785-588,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Newness,https://www.imdb.com/title/tt6408226/?ref_=adv_li_tt,Newness,17000,"6,3",50.0,Drame
1678279585-549,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Suburra,https://www.imdb.com/title/tt7197684/?ref_=adv_li_tt,Suburra,15000,"7,9",,Action
1678280133-658,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Mayhem: Légitime Vengeance,https://www.imdb.com/title/tt4348012/?ref_=adv_li_tt,Mayhem: Légitime Vengeance,23000,"6,4",62.0,Action
1678280118-655,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Beyond Skyline,https://www.imdb.com/title/tt1724970/?ref_=adv_li_tt,Beyond Skyline,22000,"5,3",46.0,Action
1678282701-902,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Professional,https://www.imdb.com/title/tt2674358/?ref_=adv_li_tt,The Professional,99000,"5,5",35.0,Action
1678273142-208,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Chapter Seven: The Lost Sister,https://www.imdb.com/title/tt6020810/?ref_=adv_li_tt,Chapter Seven: The Lost Sister,28000,"6,1",,Drame
1678281737-790,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt","Tape 1, Side A",https://www.imdb.com/title/tt5174246/?ref_=adv_li_tt,"Tape 1, Side A",77000,"8,2",,Drame
1678274395-394,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Atomic Blonde,https://www.imdb.com/title/tt2406566/?ref_=adv_li_tt,Atomic Blonde,198000,"6,7",63.0,Action
1678274347-387,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Wonder,https://www.imdb.com/title/tt2543472/?ref_=adv_li_tt,Wonder,168000,"7,9",66.0,Drame
